Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Days_Since_Update,Size_MB
TOOLS,4.5,8190074,100000000,Free,0.0,Everyone,Tools,2695,17.0
TOOLS,4.2,428581,10000000,Free,0.0,Everyone,Tools,2649,4.7
PERSONALIZATION,4.5,14,1000,Free,0.0,Everyone,Personalization,2635,11.0
BUSINESS,4.3,20815,1000000,Free,0.0,Everyone,Business,2640,10.0
ART_AND_DESIGN,4.7,7699,500000,Free,0.0,Everyone 10+,Art & Design,2654,4.2
FAMILY,3.2,304,10000,Free,0.0,Teen,Entertainment,2802,4.7
PHOTOGRAPHY,4.2,67,10000,Free,0.0,Everyone,Photography,3124,15.0
MEDICAL,4.8,12,1000,Paid,19.99,Everyone,Medical,3056,18.0
SHOPPING,4.1,110425,10000000,Free,0.0,Everyone,Shopping,2678,27.0
BUSINESS,4.5,3079,100000,Free,0.0,Everyone,Business,2633,8.5
LIFESTYLE,3.0,552,50000,Free,0.0,Everyone,Lifestyle,3131,7.6
COMICS,4.0,78,5000,Free,0.0,Everyone,Comics,3562,2.8
FAMILY,4.3,34898,1000000,Free,0.0,Teen,Strategy,2668,92.0
FAMILY,3.0,606,50000,Free,0.0,Everyone 10+,Educational,3349,42.0
FAMILY,5.0,3,1000,Free,0.0,Everyone,Education,3000,2.1
BUSINESS,3.9,45964,1000000,Free,0.0,Everyone,Business,2648,16.0
FAMILY,4.2,45,1000,Free,0.0,Teen,Casual,2822,23.0
EVENTS,4.6,3874,100000,Free,0.0,Everyone,Events,2639,14.0
TOOLS,4.5,502,10000,Free,0.0,Everyone,Tools,2651,2.0
MEDICAL,5.0,3,10,Free,0.0,Everyone,Medical,2653,53.0
EDUCATION,4.2,8599,1000000,Free,0.0,Everyone,Education,2655,17.0
NEWS_AND_MAGAZINES,4.4,74425,1000000,Free,0.0,Everyone,News & Magazines,2648,8.6
FAMILY,3.8,91645,10000000,Free,0.0,Teen,Simulation,2719,36.0
FAMILY,4.5,514088,10000000,Free,0.0,Everyone,Arcade;Action & Adventure,2697,83.0
NEWS_AND_MAGAZINES,4.0,30287,1000000,Free,0.0,Everyone 10+,News & Magazines,2632,19.0
GAME,3.5,4416,500000,Free,0.0,Teen,Casino,3194,59.0
FAMILY,4.7,580160,5000000,Free,0.0,Everyone,Simulation,2683,29.0
FAMILY,4.4,148826,1000000,Free,0.0,Teen,Role Playing,2677,49.0
PRODUCTIVITY,4.5,176873,1000000,Free,0.0,Everyone,Productivity,2909,4.5
DATING,1.0,1,10,Free,0.0,Mature 17+,Dating,2635,9.2
SHOPPING,3.8,48732,10000000,Free,0.0,Everyone,Shopping,2635,20.0
FAMILY,4.6,33,5000,Free,0.0,Everyone,Simulation,2629,11.0
FOOD_AND_DRINK,4.1,336,100000,Free,0.0,Everyone,Food & Drink,2709,13.0
FAMILY,4.0,2294,100000,Free,0.0,Everyone,Entertainment,3203,95.0
FAMILY,4.1,3527,100000,Free,0.0,Teen,Strategy,3692,35.0
FOOD_AND_DRINK,3.7,70,10000,Free,0.0,Everyone,Food & Drink,2643,26.0
FAMILY,4.1,154,10000,Free,0.0,Everyone,Educational;Education,3199,16.0
GAME,4.3,42053,10000000,Free,0.0,Everyone,Puzzle,2675,24.0
GAME,4.7,403911,10000000,Free,0.0,Everyone,Card,2672,23.0
MEDICAL,5.0,2,500,Paid,2.99,Everyone,Medical,3593,1.2
GAME,4.2,924,100000,Free,0.0,Everyone,Arcade,2918,43.0
PRODUCTIVITY,4.2,12,500,Free,0.0,Everyone,Productivity,4084,2.2
FINANCE,5.0,1,50,Free,0.0,Everyone,Finance,3102,8.4
SOCIAL,4.6,33177,1000000,Free,0.0,Everyone,Social,2684,10.0
NEWS_AND_MAGAZINES,4.2,233305,10000000,Free,0.0,Everyone,News & Magazines,2632,3.1
PRODUCTIVITY,4.6,1048766,10000000,Free,0.0,Everyone,Productivity,2632,13.0
FAMILY,3.6,906,100000,Free,0.0,Everyone,Entertainment,4272,0.19140625
SPORTS,4.7,163,1000,Paid,0.99,Everyone,Sports,2933,4.6
TOOLS,3.6,661,100000,Free,0.0,Everyone,Tools,4055,0.7900390625
GAME,4.0,38448,5000000,Free,0.0,Everyone,Racing,2680,27.0
FAMILY,3.8,168,10000,Free,0.0,Everyone,Strategy,3152,24.0
GAME,4.0,428268,10000000,Free,0.0,Everyone,Action,3686,22.0
FAMILY,3.7,37,5000,Free,0.0,Everyone,Education,3743,9.5
PHOTOGRAPHY,4.5,81219,10000000,Free,0.0,Everyone,Photography,3778,2.6
COMMUNICATION,3.9,2372,500000,Free,0.0,Everyone,Communication,2633,58.0
PERSONALIZATION,4.5,10158,500000,Free,0.0,Everyone,Personalization,2787,3.6
TOOLS,3.6,9895,1000000,Free,0.0,Everyone,Tools,3178,2.7
AUTO_AND_VEHICLES,4.2,25,10000,Free,0.0,Everyone,Auto & Vehicles,2998,6.5
SOCIAL,4.7,3873,10000,Free,0.0,Teen,Social,2653,63.0
GAME,4.2,26893,1000000,Free,0.0,Teen,Arcade,3152,20.0
ART_AND_DESIGN,4.7,8145,500000,Free,0.0,Everyone,Art & Design;Creativity,2633,24.0
TRAVEL_AND_LOCAL,4.3,16734,1000000,Free,0.0,Everyone,Travel & Local,2635,10.0
FINANCE,3.8,57,5000,Free,0.0,Everyone,Finance,2863,4.0
HOUSE_AND_HOME,4.7,126,10000,Free,0.0,Everyone,House & Home,2979,1.9
GAME,4.4,475369,50000000,Free,0.0,Everyone,Racing,2782,13.0
WEATHER,4.4,8433,100000,Free,0.0,Everyone,Weather,2690,5.6
BOOKS_AND_REFERENCE,4.6,1435,500000,Free,0.0,Everyone,Books & Reference,2826,2.8
PHOTOGRAPHY,4.2,784,100000,Free,0.0,Everyone,Photography,2728,18.0
GAME,4.4,201537,5000000,Free,0.0,Teen,Casino,2634,68.0
TOOLS,4.1,25438,1000000,Free,0.0,Everyone,Tools,2733,3.2
MEDICAL,2.5,124,10000,Free,0.0,Everyone,Medical,3199,43.0
FAMILY,3.7,40678,1000000,Free,0.0,Everyone,Casual,3070,15.0
FAMILY,4.2,367951,5000000,Free,0.0,Teen,Strategy,2650,76.0
MAPS_AND_NAVIGATION,2.8,25,1000,Free,0.0,Everyone,Maps & Navigation,2629,5.8
FAMILY,4.1,5997,1000000,Free,0.0,Everyone,Simulation,2821,20.0
TOOLS,4.0,18478,1000000,Free,0.0,Everyone,Tools,2631,1.7
GAME,4.4,1218,500000,Free,0.0,Everyone 10+,Action,2782,15.0
FAMILY,4.4,187892,5000000,Free,0.0,Everyone,Simulation,2717,40.0
NEWS_AND_MAGAZINES,4.3,42624,1000000,Free,0.0,Everyone 10+,News & Magazines,2634,16.0
FAMILY,4.0,5118,1000000,Free,0.0,Everyone,Education,2786,11.0
PHOTOGRAPHY,3.9,55427,10000000,Free,0.0,Everyone,Photography,3493,6.6
SHOPPING,5.0,2,100,Free,0.0,Teen,Shopping,2800,2.9
SPORTS,3.9,5510,1000000,Free,0.0,Everyone,Sports,2650,32.0
