Category,Rating,Reviews,Installs,Type,Price,Content Rating,Genres,Days_Since_Update,Size_MB
TOOLS,4.5,8190074,100000000,Free,0,Everyone,Tools,2694,17.0
TOOLS,4.2,428581,10000000,Free,0,Everyone,Tools,2648,4.7
PERSONALIZATION,4.5,14,1000,Free,0,Everyone,Personalization,2634,11.0
BUSINESS,4.3,20815,1000000,Free,0,Everyone,Business,2639,10.0
ART_AND_DESIGN,4.7,7699,500000,Free,0,Everyone 10+,Art & Design,2653,4.2
FAMILY,3.2,304,10000,Free,0,Teen,Entertainment,2801,4.7
PHOTOGRAPHY,4.2,67,10000,Free,0,Everyone,Photography,3123,15.0
MEDICAL,4.8,12,1000,Paid,$19.99,Everyone,Medical,3055,18.0
SHOPPING,4.1,110425,10000000,Free,0,Everyone,Shopping,2677,27.0
BUSINESS,4.5,3079,100000,Free,0,Everyone,Business,2632,8.5
LIFESTYLE,3.0,552,50000,Free,0,Everyone,Lifestyle,3130,7.6
COMICS,4.0,78,5000,Free,0,Everyone,Comics,3561,2.8
FAMILY,4.3,34898,1000000,Free,0,Teen,Strategy,2667,92.0
FAMILY,3.0,606,50000,Free,0,Everyone 10+,Educational,3348,42.0
FAMILY,5.0,3,1000,Free,0,Everyone,Education,2999,2.1
BUSINESS,3.9,45964,1000000,Free,0,Everyone,Business,2647,16.0
FAMILY,4.2,45,1000,Free,0,Teen,Casual,2821,23.0
EVENTS,4.6,3874,100000,Free,0,Everyone,Events,2638,14.0
TOOLS,4.5,502,10000,Free,0,Everyone,Tools,2650,2.0
MEDICAL,5.0,3,10,Free,0,Everyone,Medical,2652,53.0
EDUCATION,4.2,8599,1000000,Free,0,Everyone,Education,2654,17.0
NEWS_AND_MAGAZINES,4.4,74425,1000000,Free,0,Everyone,News & Magazines,2647,8.6
FAMILY,3.8,91645,10000000,Free,0,Teen,Simulation,2718,36.0
FAMILY,4.5,514088,10000000,Free,0,Everyone,Arcade;Action & Adventure,2696,83.0
NEWS_AND_MAGAZINES,4.0,30287,1000000,Free,0,Everyone 10+,News & Magazines,2631,19.0
GAME,3.5,4416,500000,Free,0,Teen,Casino,3193,59.0
FAMILY,4.7,580160,5000000,Free,0,Everyone,Simulation,2682,29.0
FAMILY,4.4,148826,1000000,Free,0,Teen,Role Playing,2676,49.0
PRODUCTIVITY,4.5,176873,1000000,Free,0,Everyone,Productivity,2908,4.5
DATING,1.0,1,10,Free,0,Mature 17+,Dating,2634,9.2
SHOPPING,3.8,48732,10000000,Free,0,Everyone,Shopping,2634,20.0
FAMILY,4.6,33,5000,Free,0,Everyone,Simulation,2628,11.0
FOOD_AND_DRINK,4.1,336,100000,Free,0,Everyone,Food & Drink,2708,13.0
FAMILY,4.0,2294,100000,Free,0,Everyone,Entertainment,3202,95.0
FAMILY,4.1,3527,100000,Free,0,Teen,Strategy,3691,35.0
FOOD_AND_DRINK,3.7,70,10000,Free,0,Everyone,Food & Drink,2642,26.0
FAMILY,4.1,154,10000,Free,0,Everyone,Educational;Education,3198,16.0
GAME,4.3,42053,10000000,Free,0,Everyone,Puzzle,2674,24.0
GAME,4.7,403911,10000000,Free,0,Everyone,Card,2671,23.0
MEDICAL,5.0,2,500,Paid,$2.99,Everyone,Medical,3592,1.2
GAME,4.2,924,100000,Free,0,Everyone,Arcade,2917,43.0
PRODUCTIVITY,4.2,12,500,Free,0,Everyone,Productivity,4083,2.2
FINANCE,5.0,1,50,Free,0,Everyone,Finance,3101,8.4
SOCIAL,4.6,33177,1000000,Free,0,Everyone,Social,2683,10.0
NEWS_AND_MAGAZINES,4.2,233305,10000000,Free,0,Everyone,News & Magazines,2631,3.1
PRODUCTIVITY,4.6,1048766,10000000,Free,0,Everyone,Productivity,2631,13.0
FAMILY,3.6,906,100000,Free,0,Everyone,Entertainment,4271,0.19140625
SPORTS,4.7,163,1000,Paid,$0.99,Everyone,Sports,2932,4.6
TOOLS,3.6,661,100000,Free,0,Everyone,Tools,4054,0.7900390625
GAME,4.0,38448,5000000,Free,0,Everyone,Racing,2679,27.0
FAMILY,3.8,168,10000,Free,0,Everyone,Strategy,3151,24.0
GAME,4.0,428268,10000000,Free,0,Everyone,Action,3685,22.0
FAMILY,3.7,37,5000,Free,0,Everyone,Education,3742,9.5
PHOTOGRAPHY,4.5,81219,10000000,Free,0,Everyone,Photography,3777,2.6
COMMUNICATION,3.9,2372,500000,Free,0,Everyone,Communication,2632,58.0
PERSONALIZATION,4.5,10158,500000,Free,0,Everyone,Personalization,2786,3.6
TOOLS,3.6,9895,1000000,Free,0,Everyone,Tools,3177,2.7
AUTO_AND_VEHICLES,4.2,25,10000,Free,0,Everyone,Auto & Vehicles,2997,6.5
SOCIAL,4.7,3873,10000,Free,0,Teen,Social,2652,63.0
GAME,4.2,26893,1000000,Free,0,Teen,Arcade,3151,20.0
ART_AND_DESIGN,4.7,8145,500000,Free,0,Everyone,Art & Design;Creativity,2632,24.0
TRAVEL_AND_LOCAL,4.3,16734,1000000,Free,0,Everyone,Travel & Local,2634,10.0
FINANCE,3.8,57,5000,Free,0,Everyone,Finance,2862,4.0
HOUSE_AND_HOME,4.7,126,10000,Free,0,Everyone,House & Home,2978,1.9
GAME,4.4,475369,50000000,Free,0,Everyone,Racing,2781,13.0
WEATHER,4.4,8433,100000,Free,0,Everyone,Weather,2689,5.6
BOOKS_AND_REFERENCE,4.6,1435,500000,Free,0,Everyone,Books & Reference,2825,2.8
PHOTOGRAPHY,4.2,784,100000,Free,0,Everyone,Photography,2727,18.0
GAME,4.4,201537,5000000,Free,0,Teen,Casino,2633,68.0
TOOLS,4.1,25438,1000000,Free,0,Everyone,Tools,2732,3.2
MEDICAL,2.5,124,10000,Free,0,Everyone,Medical,3198,43.0
FAMILY,3.7,40678,1000000,Free,0,Everyone,Casual,3069,15.0
FAMILY,4.2,367951,5000000,Free,0,Teen,Strategy,2649,76.0
MAPS_AND_NAVIGATION,2.8,25,1000,Free,0,Everyone,Maps & Navigation,2628,5.8
FAMILY,4.1,5997,1000000,Free,0,Everyone,Simulation,2820,20.0
TOOLS,4.0,18478,1000000,Free,0,Everyone,Tools,2630,1.7
GAME,4.4,1218,500000,Free,0,Everyone 10+,Action,2781,15.0
FAMILY,4.4,187892,5000000,Free,0,Everyone,Simulation,2716,40.0
NEWS_AND_MAGAZINES,4.3,42624,1000000,Free,0,Everyone 10+,News & Magazines,2633,16.0
FAMILY,4.0,5118,1000000,Free,0,Everyone,Education,2785,11.0
PHOTOGRAPHY,3.9,55427,10000000,Free,0,Everyone,Photography,3492,6.6
SHOPPING,5.0,2,100,Free,0,Teen,Shopping,2799,2.9
SPORTS,3.9,5510,1000000,Free,0,Everyone,Sports,2649,32.0
HEALTH_AND_FITNESS,4.5,183662,5000000,Free,0,Everyone,Health & Fitness,2638,57.0
MEDICAL,4.5,6099,500000,Free,0,Everyone,Medical,2634,38.0
BOOKS_AND_REFERENCE,4.3,17506,1000000,Free,0,Everyone,Books & Reference,2645,17.0
NEWS_AND_MAGAZINES,4.1,20,5000,Free,0,Everyone,News & Magazines,3020,3.1
BEAUTY,4.4,74,10000,Free,0,Everyone,Beauty,2751,2.9
GAME,4.3,504765,5000000,Free,0,Teen,Action,2635,36.0
FAMILY,4.5,2576,10000,Paid,$4.99,Everyone,Role Playing,2778,44.0
TRAVEL_AND_LOCAL,4.4,17878,1000000,Free,0,Everyone,Travel & Local,2649,28.0
FINANCE,4.1,196,10000,Free,0,Everyone,Finance,2665,7.3
FAMILY,4.3,1364,100000,Free,0,Everyone,Entertainment,2653,5.2
HEALTH_AND_FITNESS,5.0,3,50,Free,0,Everyone,Health & Fitness,2668,40.0
FAMILY,4.4,3358,100000,Paid,$14.99,Everyone,Role Playing,2633,17.0
SOCIAL,3.4,44,1000,Free,0,Teen,Social,2705,6.3
TRAVEL_AND_LOCAL,3.3,256,100000,Free,0,Everyone,Travel & Local,2633,17.0
GAME,4.5,4230886,100000000,Free,0,Everyone,Action,2633,60.0
AUTO_AND_VEHICLES,4.5,737,100000,Free,0,Everyone,Auto & Vehicles,2687,8.9
TOOLS,4.6,33509,1000000,Free,0,Everyone,Tools,2714,3.6
GAME,4.5,148895,10000000,Free,0,Everyone,Casual,2648,46.0
EDUCATION,4.3,206527,10000000,Free,0,Everyone 10+,Education,2633,21.0
TOOLS,4.3,146913,100000000,Free,0,Everyone,Tools,2647,24.0
PHOTOGRAPHY,4.4,1864,500000,Free,0,Everyone,Photography,2723,13.0
GAME,4.1,2208,500000,Free,0,Everyone,Arcade,2702,4.4
NEWS_AND_MAGAZINES,4.0,293080,10000000,Free,0,Everyone 10+,News & Magazines,2628,25.0
SOCIAL,5.0,2,500,Free,0,Everyone,Social,3380,2.4
PRODUCTIVITY,4.2,145088,10000000,Free,0,Everyone,Productivity,2642,24.0
FOOD_AND_DRINK,4.3,31986,1000000,Free,0,Teen,Food & Drink,2884,76.0
TOOLS,2.9,452,100000,Free,0,Everyone,Tools,3013,7.0
SHOPPING,3.3,9189,1000000,Free,0,Teen,Shopping,2633,98.0
FAMILY,4.5,1791,500000,Free,0,Everyone,Education;Education,2693,56.0
LIFESTYLE,2.8,48,5000,Free,0,Everyone,Lifestyle,2941,12.0
GAME,4.2,187972,5000000,Free,0,Teen,Role Playing,2654,99.0
SHOPPING,4.4,19212,500000,Free,0,Everyone,Shopping,2631,6.9
LIBRARIES_AND_DEMO,4.3,6,10000,Free,0,Everyone,Libraries & Demo,2631,5.5
GAME,4.2,492,100000,Free,0,Teen,Action,3115,63.0
FINANCE,4.5,28,10000,Free,0,Teen,Finance,2817,1.4
FAMILY,5.0,4,100,Free,0,Everyone,Education,2668,8.3
HEALTH_AND_FITNESS,4.4,12029,1000000,Free,0,Everyone,Health & Fitness,2630,4.3
GAME,4.0,120592,10000000,Free,0,Everyone 10+,Strategy,2634,77.0
TOOLS,4.0,9,1000,Free,0,Everyone,Tools,2698,33.0
COMMUNICATION,4.1,255,10000,Free,0,Everyone,Communication,3110,1.6
FINANCE,2.9,139,10000,Free,0,Everyone,Finance,3041,3.3
PRODUCTIVITY,3.8,8226,10000000,Free,0,Everyone,Productivity,2645,4.1
PERSONALIZATION,5.0,3,50,Free,0,Everyone,Personalization,2747,3.4
GAME,4.5,10460,1000000,Free,0,Everyone,Arcade,2654,18.0
FAMILY,3.5,33944,1000000,Free,0,Everyone 10+,Strategy,3507,28.0
LIFESTYLE,2.8,405,50000,Free,0,Everyone,Lifestyle,2673,25.0
FOOD_AND_DRINK,4.7,14065,500000,Free,0,Everyone,Food & Drink,2683,7.1
GAME,3.6,120852,10000000,Free,0,Teen,Action,2914,21.0
SOCIAL,4.3,9606,100000,Free,0,Teen,Social,2647,3.4
FAMILY,4.3,2282,500000,Free,0,Everyone,Simulation,2795,22.0
FAMILY,4.0,309,100000,Free,0,Everyone,Entertainment,2724,25.0
PERSONALIZATION,4.6,4724,1000000,Free,0,Everyone,Personalization,2635,5.4
FAMILY,3.1,305,100000,Free,0,Everyone,Educational;Brain Games,3388,8.3
ART_AND_DESIGN,4.4,1518,100000,Free,0,Everyone,Art & Design,2631,37.0
FINANCE,4.8,4,50,Free,0,Everyone,Finance,2703,5.1
MEDICAL,5.0,3,100,Paid,$2.99,Everyone,Medical,2736,23.0
DATING,4.1,2067,100000,Free,0,Mature 17+,Dating,2640,24.0
SHOPPING,4.2,470,10000,Paid,$2.99,Everyone,Shopping,2648,4.1
FAMILY,4.3,10776,1000000,Free,0,Everyone,Arcade;Action & Adventure,2912,21.0
TRAVEL_AND_LOCAL,4.2,18294,1000000,Free,0,Everyone,Travel & Local,2632,28.0
GAME,4.5,937,10000,Free,0,Everyone,Trivia,2919,35.0
SOCIAL,4.1,568,100000,Free,0,Mature 17+,Social,2743,27.0
VIDEO_PLAYERS,4.7,696665,10000000,Free,0,Everyone,Video Players & Editors,2660,91.0
PARENTING,3.8,3614,1000000,Free,0,Everyone,Parenting;Brain Games,2698,3.3
GAME,4.4,348962,1000000,Paid,$6.99,Mature 17+,Action,3862,26.0
PRODUCTIVITY,4.4,26358,500000,Paid,$1.99,Everyone,Productivity,4290,0.048828125
BOOKS_AND_REFERENCE,4.7,14,1000,Free,0,Everyone,Books & Reference,2782,27.0
SPORTS,4.2,15068,1000000,Free,0,Everyone,Sports,2676,2.5
SHOPPING,4.5,35479,1000000,Free,0,Everyone,Shopping,2654,16.0
VIDEO_PLAYERS,3.9,121916,100000000,Free,0,Everyone,Video Players & Editors,3552,23.0
GAME,4.5,401425,10000000,Free,0,Everyone,Action,3109,70.0
VIDEO_PLAYERS,3.8,3965,100000,Free,0,Everyone,Video Players & Editors,2761,6.4
GAME,4.1,2399,100000,Free,0,Mature 17+,Action,2818,42.0
PERSONALIZATION,4.5,624924,10000000,Free,0,Everyone,Personalization,2633,24.0
TOOLS,3.9,65,5000,Free,0,Everyone,Tools,3976,0.052734375
GAME,4.3,13604,1000000,Paid,$0.99,Teen,Action,2669,96.0
FAMILY,4.8,61,1000,Free,0,Everyone,Casual;Brain Games,3185,25.0
EVENTS,5.0,1,100,Free,0,Everyone,Events,2662,21.0
GAME,4.7,1125566,10000000,Free,0,Everyone,Puzzle,2648,25.0
FAMILY,4.4,2311,100000,Paid,$1.99,Everyone,Casual;Pretend Play,3927,9.3
SPORTS,4.0,176448,5000000,Free,0,Everyone,Sports,2886,10.0
BOOKS_AND_REFERENCE,4.8,57400,500000,Free,0,Everyone,Books & Reference,2635,14.0
TOOLS,3.7,533,100000,Free,0,Everyone,Tools,2634,7.3
VIDEO_PLAYERS,4.1,24565,1000000,Free,0,Everyone,Video Players & Editors,3513,5.5
TOOLS,4.3,1602,100000,Free,0,Everyone,Tools,2631,5.0
GAME,3.7,42529,500000,Paid,$1.99,Teen,Action,3249,92.0
FAMILY,4.6,166,5000,Free,0,Everyone,Entertainment,2776,4.2
TOOLS,4.2,533,10000,Free,0,Everyone,Tools,2936,5.0
FAMILY,4.3,43060,5000000,Free,0,Everyone,Action;Action & Adventure,2666,95.0
FAMILY,4.1,159619,5000000,Free,0,Everyone,Video Players & Editors;Creativity,2648,23.0
TOOLS,4.2,5,500,Free,0,Everyone,Tools,2733,31.0
TOOLS,4.2,24,1000,Free,0,Everyone,Tools,2850,5.0
TOOLS,4.5,2,100,Free,0,Everyone,Tools,3899,1.6
BOOKS_AND_REFERENCE,4.6,3234,100000,Free,0,Everyone,Books & Reference,2851,85.0
VIDEO_PLAYERS,4.5,83,5000,Free,0,Everyone,Video Players & Editors,2710,4.5
NEWS_AND_MAGAZINES,4.5,76,5000,Free,0,Everyone,News & Magazines,2662,7.8
FAMILY,4.4,54,500,Paid,$2.99,Everyone,Puzzle,2666,33.0
EVENTS,4.6,99,10000,Free,0,Everyone,Events,2659,13.0
GAME,3.7,53,1000,Free,0,Everyone,Adventure,3888,14.0
SPORTS,4.1,4374,100000,Free,0,Everyone,Sports,2954,53.0
SPORTS,3.0,26,1000,Free,0,Everyone,Sports,3082,15.0
GAME,4.4,2440877,10000000,Free,0,Teen,Action,2681,32.0
FAMILY,4.4,591411,10000000,Free,0,Teen,Entertainment,3075,19.0
PRODUCTIVITY,4.6,14089,500000,Free,0,Everyone,Productivity,2629,8.4
HEALTH_AND_FITNESS,4.4,622,10000,Free,0,Everyone,Health & Fitness,2717,2.5
FAMILY,4.6,9199,500000,Free,0,Everyone,Puzzle;Brain Games,2631,80.0
MEDICAL,4.2,74,1000,Paid,$1.50,Everyone,Medical,4058,2.6
FAMILY,4.3,18,1000,Free,0,Everyone,Entertainment,3550,1.7
COMMUNICATION,3.1,497,100000,Free,0,Everyone,Communication,2648,36.0
TOOLS,4.2,928,10000,Paid,$1.99,Everyone,Tools,4228,0.3740234375
DATING,4.8,84,1000,Free,0,Mature 17+,Dating,2659,4.5
HEALTH_AND_FITNESS,4.1,18539,1000000,Free,0,Everyone,Health & Fitness,2635,57.0
FAMILY,4.5,75719,5000000,Free,0,Everyone,Educational,2883,30.0
FAMILY,3.6,445,50000,Free,0,Everyone,Casual,3861,12.0
LIFESTYLE,4.2,120,10000,Free,0,Everyone,Lifestyle,2792,14.0
TOOLS,3.6,41,10000,Free,0,Everyone,Tools,2692,23.0
PERSONALIZATION,4.1,2645,50000,Paid,$0.99,Everyone,Personalization,3588,1.1
PARENTING,4.0,464,100000,Free,0,Everyone,Parenting,2628,24.0
FINANCE,4.5,64959,1000000,Free,0,Everyone,Finance,2677,39.0
TRAVEL_AND_LOCAL,4.4,105,10000,Free,0,Everyone,Travel & Local,2724,5.0
TOOLS,4.3,3268,100000,Free,0,Everyone,Tools,2861,0.4560546875
SPORTS,4.4,108318,10000000,Free,0,Everyone,Sports,2656,35.0
TOOLS,4.2,19096,1000000,Free,0,Everyone,Tools,2660,10.0
GAME,4.5,2311785,10000000,Free,0,Teen,Action,2633,87.0
BOOKS_AND_REFERENCE,4.7,146,5000,Free,0,Everyone,Books & Reference,2726,34.0
FAMILY,4.7,8508,500000,Free,0,Everyone 10+,Arcade;Action & Adventure,2632,54.0
FAMILY,4.3,171220,5000000,Free,0,Everyone 10+,Role Playing,3733,42.0
MEDICAL,4.9,100082,1000000,Free,0,Everyone,Medical,2656,3.7
DATING,4.1,285726,10000000,Free,0,Mature 17+,Dating,2635,15.0
TOOLS,4.4,1166,100000,Free,0,Everyone,Tools,2761,13.0
FINANCE,4.5,101,10000,Free,0,Everyone,Finance,2630,6.9
FAMILY,4.4,7615646,100000000,Free,0,Everyone,Casual,2627,71.0
PHOTOGRAPHY,4.1,19232,1000000,Free,0,Everyone,Photography,2628,28.0
FAMILY,3.6,284,10000,Free,0,Everyone,Simulation,3050,70.0
FAMILY,4.3,65146,10000000,Free,0,Mature 17+,Simulation,2695,100.0
FAMILY,4.3,219,5000,Free,0,Everyone,Entertainment,2856,4.3
LIFESTYLE,3.8,52,10000,Free,0,Everyone,Lifestyle,2851,10.0
TOOLS,4.5,1916,100000,Free,0,Everyone,Tools,3577,0.35546875
BUSINESS,3.8,5211,1000000,Free,0,Everyone,Business,2635,26.0
GAME,4.4,18652,100000,Paid,$2.99,Everyone,Board,2661,63.0
PHOTOGRAPHY,4.1,32398,1000000,Free,0,Everyone,Photography,2633,28.0
FAMILY,4.6,84114,500000,Paid,$0.99,Everyone 10+,Puzzle,2660,23.0
COMMUNICATION,3.9,1436,100000,Free,0,Everyone,Communication,4434,0.01953125
FAMILY,4.4,7,1000,Free,0,Everyone,Education,3020,81.0
GAME,4.2,4878,100000,Free,0,Everyone 10+,Adventure,2813,27.0
FAMILY,4.2,35172,1000000,Free,0,Teen,Strategy,3191,34.0
PRODUCTIVITY,4.2,105,1000,Free,0,Everyone,Productivity,2922,72.0
PERSONALIZATION,4.3,58617,1000000,Paid,$0.99,Everyone,Personalization,3235,26.0
BOOKS_AND_REFERENCE,4.4,43088,1000000,Free,0,Teen,Books & Reference,3102,3.0
SHOPPING,4.5,37186,1000000,Free,0,Everyone,Shopping,2665,7.9
FAMILY,4.6,477,10000,Free,0,Everyone,Education,2793,1.6
EDUCATION,4.4,390,500000,Free,0,Everyone,Education;Education,2812,41.0
SHOPPING,4.7,3,500,Free,0,Everyone,Shopping,2998,5.8
GAME,4.6,10795,100000,Paid,$5.99,Everyone,Simulation,2856,69.0
GAME,4.5,947515,10000000,Free,0,Teen,Action,2640,60.0
NEWS_AND_MAGAZINES,3.7,7,1000,Free,0,Everyone 10+,News & Magazines,2708,3.4
GAME,4.4,2119235,50000000,Free,0,Everyone 10+,Action,2666,70.0
AUTO_AND_VEHICLES,4.6,2431,100000,Free,0,Everyone,Auto & Vehicles,2683,2.4
BEAUTY,3.7,3871,1000000,Free,0,Everyone,Beauty,2635,23.0
FAMILY,4.5,432,100000,Free,0,Everyone 10+,Educational;Education,2638,63.0
LIFESTYLE,4.5,3346,100000,Free,0,Teen,Lifestyle,3144,14.0
FAMILY,3.8,20,5000,Free,0,Teen,Educational,2792,55.0
PHOTOGRAPHY,4.3,50893,1000000,Free,0,Everyone,Photography,3983,35.0
TOOLS,3.9,7,100,Free,0,Everyone,Tools,2689,3.2
FAMILY,4.7,15,1000,Free,0,Everyone,Education,3324,5.2
FAMILY,4.7,34279,1000000,Free,0,Everyone,Casual;Creativity,2632,24.0
EDUCATION,4.3,16195,1000000,Free,0,Everyone,Education,3313,5.2
SOCIAL,4.4,900064,10000000,Free,0,Mature 17+,Social,2634,13.0
FAMILY,4.7,2387,100000,Free,0,Everyone,Education,2686,6.9
BUSINESS,3.8,5868,500000,Free,0,Everyone,Business,2662,20.0
MEDICAL,4.9,14,100,Free,0,Everyone,Medical,2652,7.0
ART_AND_DESIGN,4.1,227,50000,Free,0,Everyone,Art & Design,2695,5.2
FOOD_AND_DRINK,4.2,68103,1000000,Free,0,Everyone,Food & Drink,2675,66.0
FAMILY,4.1,59917,5000000,Free,0,Everyone,Education;Pretend Play,2634,92.0
SPORTS,4.6,1641,10000,Free,0,Everyone,Sports,2632,6.2
MAPS_AND_NAVIGATION,4.4,18710,1000000,Free,0,Everyone,Maps & Navigation,2631,4.0
COMMUNICATION,2.9,83,10000,Free,0,Everyone,Communication,2730,13.0
FAMILY,4.0,154,50000,Free,0,Teen,Educational,2682,58.0
FAMILY,4.6,29436,1000000,Free,0,Everyone,Educational;Education,2766,43.0
FAMILY,4.0,10773,1000000,Free,0,Everyone,Education,2878,10.0
FAMILY,3.3,23682,1000000,Free,0,Teen,Casual,2681,9.8
TRAVEL_AND_LOCAL,4.4,75,1000,Free,0,Everyone,Travel & Local,2703,19.0
FAMILY,4.1,1111915,100000000,Free,0,Everyone,Entertainment,2726,50.0
FAMILY,3.9,100,10000,Free,0,Everyone,Entertainment,3242,9.1
FAMILY,4.6,222,10000,Free,0,Everyone,Entertainment,3539,1.4
FAMILY,4.6,67410,1000000,Free,0,Everyone,Entertainment,2905,0.8447265625
TOOLS,4.2,498,100000,Free,0,Everyone,Tools,4377,0.5830078125
BOOKS_AND_REFERENCE,3.3,1862,1000000,Free,0,Everyone,Books & Reference,2729,19.0
COMMUNICATION,4.3,30209,5000000,Free,0,Everyone,Communication,2637,15.0
FAMILY,4.4,19207,100000,Free,0,Everyone,Role Playing,3314,36.0
PERSONALIZATION,3.9,28694,1000000,Free,0,Everyone,Personalization,2832,2.9
