Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type
21.14,Male,101.05,1.95,171.17,130.81,68.96,0.97,959.43,Strength
44.17,Male,41.63,1.78,167.33,158.46,63.95,1.48,1424.35,Cardio
20.07,Female,63.81,1.78,187.86,137.11,60.93,1.7,1766.64,Cardio
36.3,Female,59.77,1.78,183.83,120.32,60.01,0.85,1028.5,HIIT
51.99,Male,57.6,1.56,166.25,151.82,67.97,1.66,1295.8,Yoga
46.83,Female,43.59,1.62,178.91,132.34,63.9,0.49,485.1,Strength
52.15,Female,66.53,1.6,184.98,119.98,70.04,1.35,971.19,Yoga
42.83,Female,112.74,1.83,160.78,134.33,63.11,1.45,1917.19,HIIT
30.9,Female,76.77,1.71,189.88,137.2,51.88,1.27,1214.12,Cardio
49.4,Male,50.89,1.5,182.05,140.69,58.18,1.32,871.2,Yoga
54.32,Male,117.19,1.62,172.28,142.6,56.16,1.04,1370.51,HIIT
49.76,Male,87.78,1.6,181.49,121.71,67.05,0.77,931.7,HIIT
19.21,Female,73.86,1.77,198.18,137.52,63.8,1.27,1369.31,Strength
46.22,Female,74.42,1.53,178.76,151.24,65.81,1.3,1720.29,HIIT
32.69,Female,55.73,1.61,161.32,147.14,54.1,1.77,2529.15,HIIT
58.49,Female,55.19,1.57,164.14,169.26,63.91,0.58,700.52,HIIT
33.1,Male,56.14,1.54,164.77,155.31,62.61,1.05,693.0,Yoga
32.19,Male,77.12,1.92,173.83,137.48,49.9,1.4,1851.08,HIIT
52.68,Female,73.03,1.76,168.99,151.16,70.09,1.09,1177.2,Strength
47.11,Male,39.52,1.76,173.08,132.37,63.15,0.79,521.4,Yoga
56.21,Female,57.71,1.68,168.27,156.08,73.91,1.6,1874.88,Strength
52.08,Male,61.85,1.69,159.54,151.53,63.13,1.81,2117.7,Strength
37.5,Female,70.48,1.52,163.71,144.47,66.11,1.19,857.51,Yoga
25.09,Male,54.32,1.76,175.85,151.69,66.95,1.56,1217.74,Yoga
56.25,Male,55.67,1.53,190.12,124.17,66.05,1.92,2244.67,Strength
58.95,Female,123.4,1.88,177.39,161.16,66.83,1.3,936.78,Yoga
47.19,Male,45.65,1.93,166.03,159.33,65.01,1.29,1392.04,Strength
25.54,Male,57.98,1.58,188.33,144.64,52.08,1.36,1306.69,Cardio
58.77,Male,85.5,1.67,190.46,144.18,70.99,2.01,2092.01,Cardio
44.81,Female,81.63,1.61,164.13,140.82,55.08,1.14,1095.31,Cardio
59.04,Male,85.89,1.67,190.03,143.96,70.98,1.99,2069.6,Cardio
41.07,Female,100.81,1.83,159.93,161.87,66.01,0.78,514.33,Yoga
19.81,Male,86.11,1.92,172.21,136.68,58.12,1.71,2005.32,Strength
50.14,Female,69.68,1.68,181.82,134.61,51.13,1.19,1439.9,HIIT
44.17,Female,60.9,1.55,196.07,129.38,66.13,1.41,1352.47,Cardio
30.96,Male,86.12,1.77,172.0,150.55,66.22,1.28,1382.4,Strength
20.97,Female,100.7,1.84,181.17,131.59,50.14,1.3,1145.04,Cardio
46.93,Male,61.5,1.76,161.95,152.59,53.98,1.53,1194.32,Yoga
18.92,Female,88.29,1.76,175.2,126.76,71.97,1.5,1079.1,Yoga
26.36,Male,61.42,1.61,198.38,139.16,57.75,1.88,2201.29,Strength
53.69,Male,64.21,1.53,171.48,120.23,57.97,1.73,2473.9,HIIT
27.01,Male,61.88,1.8,169.31,144.39,71.89,1.47,1775.47,HIIT
41.03,Male,62.3,1.79,181.43,162.03,72.86,2.0,2860.0,HIIT
35.06,Female,100.47,1.63,161.25,163.08,58.97,1.11,1097.9,Strength
58.87,Female,70.71,1.68,192.44,120.83,66.0,1.15,825.93,Yoga
37.11,Male,69.76,1.77,161.98,122.65,52.31,1.01,665.99,Yoga
41.03,Male,47.3,1.78,165.11,149.22,65.0,1.26,1247.4,Strength
39.9,Female,52.16,1.82,160.72,159.88,71.09,0.9,890.19,Strength
23.77,Female,54.3,1.75,160.07,167.09,53.03,0.84,553.39,Yoga
24.73,Female,41.91,1.67,186.16,138.14,70.89,1.03,741.6,Yoga
45.63,Female,103.23,1.77,194.08,148.25,53.96,1.19,1437.28,HIIT
33.0,Female,102.4,1.75,186.06,140.13,53.16,1.4,1851.08,HIIT
41.74,Male,85.88,1.77,171.74,126.82,55.11,1.77,1379.54,Yoga
42.81,Male,102.69,1.72,189.76,147.26,58.09,0.82,811.06,Strength
40.15,Female,57.16,1.71,167.72,143.07,61.05,1.87,2674.1,HIIT
45.89,Female,94.73,1.82,164.08,120.31,69.13,1.47,1060.16,Yoga
56.28,Male,84.25,1.63,183.61,140.84,52.12,1.01,1336.53,HIIT
37.91,Male,88.42,1.79,181.84,137.77,67.88,1.74,1357.2,Yoga
50.12,Male,69.92,1.96,166.44,139.21,67.96,0.97,854.38,Cardio
34.94,Female,77.96,1.67,198.27,167.84,57.02,1.12,1478.4,HIIT
43.49,Male,47.28,1.76,189.16,124.34,52.29,0.88,581.86,Yoga
20.23,Male,70.97,1.58,167.03,166.73,54.03,1.06,1017.6,Cardio
26.17,Male,44.25,1.6,186.2,136.01,61.01,1.09,720.05,Yoga
34.97,Female,65.64,1.62,188.91,158.32,68.9,1.01,1092.62,Strength
39.98,Female,80.82,1.76,167.73,166.81,73.99,1.63,2330.9,HIIT
36.85,Female,48.71,1.67,164.27,132.57,74.07,1.38,1213.3,Cardio
44.96,Female,46.51,1.79,176.36,168.01,55.24,1.45,1915.6,HIIT
44.76,Female,64.77,1.78,180.31,158.0,65.8,1.46,1442.77,Strength
48.77,Male,78.78,1.73,182.29,151.19,63.8,1.37,1204.5,Cardio
56.12,Male,88.42,1.68,176.34,152.18,64.96,1.76,2516.8,HIIT
34.37,Male,64.16,1.62,173.83,145.08,61.77,1.76,2057.62,Strength
52.24,Female,61.2,1.68,181.93,125.36,63.93,1.6,2284.48,HIIT
48.76,Female,83.07,1.95,183.19,158.82,73.02,1.91,2737.6,HIIT
33.99,Female,71.71,1.64,170.0,133.8,67.03,1.26,1663.2,HIIT
49.07,Male,77.79,1.73,181.83,151.1,64.19,1.37,1357.53,Strength
24.73,Female,80.97,1.61,170.3,158.68,62.97,1.92,2242.94,Strength
23.15,Female,81.16,1.81,178.52,126.02,58.9,1.55,1614.48,Cardio
50.69,Female,56.62,1.5,182.09,141.66,66.08,1.43,1256.11,Cardio
58.33,Male,74.72,1.69,175.22,161.75,52.86,1.28,1230.85,Cardio
20.05,Male,120.3,1.73,186.24,152.61,66.94,1.01,727.2,Yoga
43.29,Female,53.07,1.59,186.93,135.99,71.98,0.82,992.2,HIIT
28.05,Female,67.84,1.67,171.17,156.95,73.95,0.63,622.57,Strength
38.98,Male,126.79,1.82,179.91,161.28,70.03,1.26,1661.81,HIIT
33.59,Female,75.65,1.94,180.79,140.68,72.0,1.18,1272.28,Strength
56.72,Female,60.3,1.52,196.25,156.56,66.26,1.31,943.99,Yoga
57.12,Male,62.01,1.52,167.87,142.7,51.05,0.9,893.43,Strength
56.23,Male,88.85,1.68,175.92,152.05,64.89,1.76,1366.46,Yoga
25.05,Male,81.66,1.61,169.9,159.18,63.23,1.92,1497.6,Yoga
38.53,Female,92.96,1.7,190.87,155.37,49.98,1.11,1067.38,Cardio
45.01,Female,89.77,1.81,178.11,152.72,70.24,1.71,2445.3,HIIT
45.15,Male,44.1,1.65,161.6,148.43,71.18,1.43,1259.54,Cardio
23.21,Female,63.77,1.7,187.09,125.07,72.15,0.5,495.45,Strength
40.96,Female,94.7,2.0,178.72,135.74,68.9,1.17,1416.99,HIIT
37.16,Female,103.63,1.89,175.18,167.81,57.04,0.55,545.49,Strength
52.79,Male,53.17,1.74,173.06,156.08,54.24,1.37,1315.2,Cardio
44.8,Male,50.94,1.87,177.12,157.85,57.15,1.44,1556.5,Strength
22.97,Female,107.11,1.93,167.04,139.41,54.96,1.15,1104.0,Cardio
45.75,Male,66.5,1.73,163.02,142.07,56.0,1.11,1344.32,HIIT
